estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
VER,565,Veracruz,94292,"Carretera Boca del rio-Anton Lizardo, Fracc. El Estero, BOCA DEL RIO",19.09,-96.1,19037-198124,El Dorado Veracruz
VER,566,Veracruz,94298,"Av. Las Americas S/N, Blvd. Ruiz Cortines",19.14,-96.11,48643-264525,Plaza las Americas - Veracruz
VER,567,Veracruz,94298,"Av Ruiz Cortinez 3, 289, esq. Calle Girasol",19.15,-96.11,15322-160026,Costa de Oro
VER,568,Veracruz,91697,"Circuito Nvo. Veracruz macrolote14 #835, Col. Exhacienda Buenavista edo Veracruz",19.13,-96.23,26298-244256,Nuevo Veracruz
VER,569,Xalapa,52764,"Av. Lazaro Cardenas No. 102, Col. Rafael Lucio",19.56,-96.92,16646-173860,Urban Center Xalapa
VER,570,Xalapa Enriquez,91190,"Paseo de las Palmas #1, Jardines de las Animas",19.52,-96.87,22961-226744,Xalapa Animas
YUC,571,Merida,,"Calle 30 n. 185, Col. San Ramon Norte",21.04,-89.62,19251-199824,City Center Merida
YUC,572,Merida,97000,"Calle 56 A, Numero 465 x 33 A y 35",20.99,-89.62,16420-119570,Paseo Montejo
YUC,573,Merida,97130,"451 de la Calle 7 Fraccionamie Altabrisa, Seccion 26",21.02,-89.58,32249-119595,Plaza Altabrisa
YUC,574,Merida,97128,Circuito Colonias Avenue & Calle 22,21,-89.61,32637-132846,Circuito Colonias
YUC,575,Merida,97117,"Av. 32 n. 219 por calle 43, Norte",21.03,-89.61,20393-205056,Plaza Jardin Merida
YUC,576,Merida,97118,493 Calle 29 x 50 Diag. Gonazlo Guerrero,21.03,-89.63,32089-119556,Gran Plaza Merida
ZAC,577,Zacatecas,98000,Ave Hidalgo 507-A,22.78,-102.57,32752-139185,Zacatecas Centro
ZAC,578,Zacatecas,98040,"Col. Antigua Unidad Minera, El Bote, de Ciudad de Argentum, Local No. 156",22.78,-102.6,17987-184009,Galerias Zacatecas
ZAC,579,Zacatecas,98097,"Blvd Garcia Salinas 311, La Estancia",32.51,-117.01,32575-135724,Garcia Salinas
